Dates,BIMBO,CEMEX,JOSECUERVO,FEMSA,TELEVISA,VOLARIS,MXN/USD,USD/EUR,MXN/EUR,IPC,S&P500 (USD),AMAZON (USD),ORO (USD)
03/01/2022,62.47,13.78,51.27,159.11,38.76,36.36,20.5204,1.1297,23.1783,52941.01,4796.56,170.405,1801.45
04/01/2022,62.91,13.7,51.14,161.39,39,36.25,20.5169,1.1287,23.1572,53016.78,4793.54,167.522,1814.6
05/01/2022,60.99,13.69,50.81,162.21,39.79,36.14,20.5688,1.1314,23.2739,53024.14,4700.58,164.357,1810.44
06/01/2022,63.69,13.46,50.56,161.8,40.24,35.99,20.5045,1.1297,23.1648,53055.31,4696.05,163.254,1791.16
07/01/2022,64.48,13.35,50.91,162.32,40.86,37.79,20.4005,1.136,23.1861,53202.11,4677.03,162.554,1796.55
10/01/2022,63.33,13.06,51.32,163.71,40.26,38.01,20.3703,1.1326,23.0744,52835.76,4670.29,161.486,1801.68
11/01/2022,65.01,13.28,52.3,165.46,41.22,38.9,20.382,1.1367,23.1717,53061.92,4713.07,165.362,1821.6
12/01/2022,67.04,13.75,53.02,166.64,42.72,39.2,20.3569,1.1442,23.2994,53951.14,4726.35,165.207,1826.15
13/01/2022,65.94,13.8,53.4,167.4,43.37,39.65,20.3451,1.1455,23.3006,53930.45,4659.03,161.214,1822.54
14/01/2022,66.43,13.92,53.13,168.39,42.58,39.71,20.3079,1.1411,23.1793,53744.93,4662.85,162.138,1817.94
17/01/2022,66.54,13.96,52.96,171.61,42.13,39.99,20.3002,1.1408,23.16,53973.27,4662.85,162.138,1819.23
18/01/2022,63.29,13.75,52.23,169.43,42.97,39.26,20.4051,1.1325,23.1079,53232.2,4577.11,158.918,1813.74
19/01/2022,63.57,13.59,51.11,166.34,42.07,37.89,20.506,1.1343,23.2611,52823.23,4532.76,156.299,1840.54
20/01/2022,63.94,13.04,49.79,167.6,41.55,37.04,20.5363,1.1312,23.2338,52508.35,4482.73,151.668,1839.29
21/01/2022,63.23,12.11,49.77,167.67,40.18,36.36,20.4734,1.1344,23.225,51599.38,4397.94,142.643,1835.38
24/01/2022,62.89,11.89,49.3,165.77,39.57,35.1,20.5747,1.1326,23.3072,50890.59,4410.13,144.544,1843.06
25/01/2022,63.01,12.36,48.8,165.41,39.55,35.94,20.6186,1.1301,23.2999,51104.39,4356.45,139.986,1848.02
26/01/2022,62.39,12.53,47.79,164.75,39.64,35.58,20.7461,1.124,23.3178,51037.05,4349.93,138.873,1819.59
27/01/2022,60.54,12.43,47.09,161.1,40.56,35.07,20.7575,1.1145,23.1438,50466.02,4326.51,139.638,1797.43
28/01/2022,61.53,12.66,47.22,156.7,39.97,35.36,20.8051,1.1151,23.1937,50661.86,4431.85,143.978,1791.53
31/01/2022,64.59,12.6,49.84,155.2,42.04,36.64,20.6355,1.1235,23.1837,51330.86,4515.55,149.574,1797.17
01/02/2022,65.1,12.73,49.97,154.59,42.86,36.95,20.5426,1.1272,23.1585,51782.67,4546.54,151.194,1801.19
02/02/2022,63.21,12.82,49.98,158.6,42.88,37.77,20.5742,1.1305,23.2587,52034.8,4589.38,150.613,1806.8
03/02/2022,60.91,12.41,48.92,152.12,42.29,36.28,20.5492,1.144,23.5066,51145.11,4477.44,138.846,1804.85
04/02/2022,62.01,12.33,51.04,154.39,43.39,36.38,20.6811,1.1449,23.6762,51255.31,4500.53,157.64,1808.28
07/02/2022,62.01,12.33,51.04,154.39,43.39,36.38,20.5948,1.1442,23.565,51255.31,4483.87,157.936,1820.47
08/02/2022,63.4,12.23,51.06,157.27,44.29,38.36,20.6146,1.1415,23.5318,52294.58,4521.54,161.414,1825.92
09/02/2022,64.04,12.47,51.88,157.14,44.35,39.91,20.4782,1.1425,23.3935,52761.91,4587.18,161.19,1833.36
10/02/2022,63.44,11.59,51.4,157.95,44.34,39.87,20.5721,1.1428,23.5081,52599.58,4504.08,159.004,1826.85
11/02/2022,64.63,11.56,50.16,159.16,44.8,38.41,20.5376,1.135,23.31,53229.26,4418.64,153.294,1858.76
14/02/2022,62.9,11.13,49.38,154.64,43.46,38.49,20.4243,1.1307,23.1001,52334.73,4401.67,155.167,1871.18
15/02/2022,63.07,11.68,50.2,157,43.57,39.89,20.3966,1.1359,23.1675,53210.94,4471.07,156.511,1853.61
16/02/2022,63.22,11.67,50.54,159.47,44.79,40.33,20.2761,1.1373,23.0604,53680.86,4475.01,158.101,1869.8
17/02/2022,63.75,11.5,50.18,157.77,44.35,41.58,20.3004,1.1361,23.0633,52712.05,4380.26,154.653,1898.43
18/02/2022,64.81,11.42,51.63,156.77,42.75,42.41,20.2921,1.1322,22.9733,52281.54,4348.87,152.602,1898.43
21/02/2022,64.69,11.34,52.28,159.39,42.08,41.22,20.3091,1.1311,22.9738,52025.18,4348.87,152.602,1906.29
22/02/2022,65.49,11.28,52.4,158.9,42.93,42.32,20.3031,1.1325,22.9952,52600.45,4304.76,150.198,1898.64
23/02/2022,62.66,10.52,50.64,156.36,41.56,41.65,20.2452,1.1307,22.893,51362.95,4225.5,144.827,1909.01
24/02/2022,62.36,10.4,50.82,155.82,41.44,40.64,20.5571,1.1192,23.0128,51454.05,4288.7,151.358,1903.89
25/02/2022,64.35,10.56,50.76,163.17,42.91,41.83,20.3459,1.1268,22.9188,52555.6,4384.65,153.789,1889.34
